s	 6.86699665432543E+0000	 8.30728127027707E+0000	 1.00433059620000E+0000	 8.01402289891872E-0001	 1.98597710108128E-0001	 3.87111372600969E-0001
s	 6.31316456893436E+0000	 8.46543528248132E+0000	 1.00470803760000E+0000	 7.88261599954950E-0001	 2.11738400045050E-0001	 4.02110251066103E-0001
s	 5.76205696843201E+0000	 8.63043173533845E+0000	 1.00470803760000E+0000	 7.72930220233357E-0001	 2.27069779766643E-0001	 4.16392547808839E-0001
s	 5.21460538151532E+0000	 8.80190233043839E+0000	 1.00352178350000E+0000	 7.54826334686351E-0001	 2.45173665313649E-0001	 4.30008417517906E-0001
s	 4.67217772993595E+0000	 8.97949334697337E+0000	 1.00352178350000E+0000	 7.33142022964625E-0001	 2.66857977035375E-0001	 4.43003441050557E-0001
s	 8.12538256426306E+0000	 7.76083874659540E+0000	 1.00613023490000E+0000	 7.76456299681438E-0001	 2.23543700318562E-0001	 3.64360053526977E-0001
s	 7.57736855267437E+0000	 7.90860537205345E+0000	 1.00613023490000E+0000	 7.64253137088618E-0001	 2.35746862911382E-0001	 3.81148256986397E-0001
s	 7.03238588068508E+0000	 8.06404860901161E+0000	 1.00470803760000E+0000	 7.50412251590889E-0001	 2.49587748409111E-0001	 3.97072476341440E-0001
s	 6.49124211789829E+0000	 8.22674878361664E+0000	 1.00470803760000E+0000	 7.34590207675979E-0001	 2.65409792324021E-0001	 4.12197734245198E-0001
s	 5.95503737812731E+0000	 8.39630023664182E+0000	 1.00352178350000E+0000	 7.16340281522144E-0001	 2.83659718477856E-0001	 4.26582688299577E-0001
s	 5.42530105451159E+0000	 8.57231334155288E+0000	 1.00352178350000E+0000	 6.95070478792199E-0001	 3.04929521207801E-0001	 4.40280391292028E-0001
s	 4.90420808287454E+0000	 8.75441592492621E+0000	 1.00249023180000E+0000	 6.69979263816414E-0001	 3.30020736183586E-0001	 4.53338945011937E-0001
s	 4.39492905902447E+0000	 8.94225417143890E+0000	 1.00249023180000E+0000	 6.39953854676678E-0001	 3.60046145323322E-0001	 4.65802064630334E-0001
s	 3.90220797396562E+0000	 9.13549309508497E+0000	 1.00163040900000E+0000	 6.03402912339905E-0001	 3.96597087660095E-0001	 4.77709567597987E-0001
s	 8.84705008638059E+0000	 7.36716822163548E+0000	 1.00713092030000E+0000	 7.47652438299116E-0001	 2.52347561700884E-0001	 3.56578584265660E-0001
s	 8.30691546685792E+0000	 7.51144039330280E+0000	 1.00470803760000E+0000	 7.35218984358897E-0001	 2.64781015641103E-0001	 3.74520028860520E-0001
s	 7.77057302486234E+0000	 7.66389967590154E+0000	 1.00530521760000E+0000	 7.21311283501315E-0001	 2.78688716498685E-0001	 3.91488042821581E-0001
s	 7.23890053029187E+0000	 7.82408259326548E+0000	 1.00352178350000E+0000	 7.05658299904049E-0001	 2.94341700095951E-0001	 4.07559755433864E-0001
s	 6.71305003422481E+0000	 7.99154060507609E+0000	 1.00363313320000E+0000	 6.87918184662792E-0001	 3.12081815337208E-0001	 4.22804357256080E-0001
s	 6.19455559000466E+0000	 8.16584277177175E+0000	 1.00249023180000E+0000	 6.67653536614334E-0001	 3.32346463385666E-0001	 4.37284095889427E-0001
s	 5.68549164819823E+0000	 8.34657764512735E+0000	 1.00235384960000E+0000	 6.44295512619845E-0001	 3.55704487380155E-0001	 4.51055125533051E-0001
s	 5.18870846320110E+0000	 8.53335449015182E+0000	 1.00235384960000E+0000	 6.17090447619040E-0001	 3.82909552380960E-0001	 4.64168234775217E-0001
s	 4.70818349383805E+0000	 8.72580394494577E+0000	 1.00134915800000E+0000	 5.85018161221714E-0001	 4.14981838778286E-0001	 4.76669472505969E-0001
s	 4.24954151775836E+0000	 8.92357822038531E+0000	 1.00134915800000E+0000	 5.46662730929530E-0001	 4.53337269070470E-0001	 4.88600688210111E-0001
s	 3.82079777020438E+0000	 9.12635093301527E+0000	 1.00065931830000E+0000	 5.00000000000000E-0001	 5.00000000000000E-0001	 5.00000000000000E-0001
s	 9.58341311859907E+0000	 6.97556298137952E+0000	 1.00713092030000E+0000	 7.24253096928592E-0001	 2.75746903071408E-0001	 3.47849954281249E-0001
s	 9.05082819126473E+0000	 7.11595016573641E+0000	 1.00530521760000E+0000	 7.11902471658423E-0001	 2.88097528341577E-0001	 3.67108838124130E-0001
s	 8.52260664903698E+0000	 7.26510310829905E+0000	 1.00530521760000E+0000	 6.98239635165142E-0001	 3.01760364834858E-0001	 3.85262867412528E-0001
s	 7.99964021015419E+0000	 7.42250812215883E+0000	 1.00530521760000E+0000	 6.83049856986176E-0001	 3.16950143013824E-0001	 4.02404466891515E-0001
s	 7.48306426318321E+0000	 7.58766721241413E+0000	 1.00363313320000E+0000	 6.66068821393676E-0001	 3.33931178606324E-0001	 4.18616032116186E-0001
s	 6.97433956757837E+0000	 7.76010163185913E+0000	 1.00363313320000E+0000	 6.46967440477758E-0001	 3.53032559522242E-0001	 4.33971253881332E-0001
s	 6.47536563109954E+0000	 7.93935442276347E+0000	 1.00235384960000E+0000	 6.25330721277905E-0001	 3.74669278722095E-0001	 4.48536238170720E-0001
s	 5.98863848338578E+0000	 8.12499208095253E+0000	 1.00235384960000E+0000	 6.00627781432056E-0001	 3.99372218567944E-0001	 4.62370457533656E-0001
s	 5.51746934023021E+0000	 8.31660548267276E+0000	 1.00134915800000E+0000	 5.72168363401654E-0001	 4.27831636598346E-0001	 4.75527562766526E-0001
s	 5.06628270624879E+0000	 8.51381020983222E+0000	 1.00134915800000E+0000	 5.39038179107974E-0001	 4.60961820892026E-0001	 4.88056078258406E-0001
